Churn,Contract,Customer ID,Dependents,Device Protection,Dimension,Gender,Info 1,Info 2,Info 3,Internet Service,Message,Monthly Charges (bin),Monthly Charges (bin) 2,Multiple Lines,Online Backup,Online Security,Paperless Billing,Partner,Payment Method,Phone Service,Senior Citizen,Streaming Movies,Streaming TV,Tech Support,Tenure,Total Charges (bin),# Customers,Churn Rate count yes,"Churn Rate, %",Monthly Charges,Monthly Charges ,Total Charges,Total per Tenure
No,Month-to-month,7590-VHVEG,No,No,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,28,28,No phone service,Yes,No,Yes,Yes,Electronic check,No,0,No,No,No,1,29,1,0,0.00%,29.85,29.85,29.85,29.85
No,One year,5575-GNVDE,No,Yes,DSL,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,56,56,No,No,Yes,No,No,Mailed check,Yes,0,No,No,No,34,1889,1,0,0.00%,56.95,56.95,1889.5,55.57352941
Yes,Month-to-month,3668-QPYBK,No,No,DSL,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,52,53.2,No,Yes,Yes,Yes,No,Mailed check,Yes,0,No,No,No,2,108,1,1,100.00%,53.85,53.85,108.15,54.075
No,One year,7795-CFOCW,No,Yes,DSL,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,40,42,No phone service,No,Yes,No,No,Bank transfer (automatic),No,0,No,No,Yes,45,1840,1,0,0.00%,42.3,42.3,1840.75,40.90555556
Yes,Month-to-month,9237-HQITU,No,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,68,70,No,No,No,Yes,No,Electronic check,Yes,0,No,No,No,2,151,1,1,100.00%,70.7,70.7,151.65,75.825
Yes,Month-to-month,9305-CDSKC,No,Yes,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,96,98,Yes,No,No,Yes,No,Electronic check,Yes,0,Yes,Yes,No,8,820,1,1,100.00%,99.65,99.65,820.5,102.5625
No,Month-to-month,1452-KIOVK,Yes,No,Fiber optic,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,88,86.8,Yes,Yes,No,Yes,No,Credit card (automatic),Yes,0,No,Yes,No,22,1949,1,0,0.00%,89.1,89.1,1949.4,88.60909091
No,Month-to-month,6713-OKOMC,No,No,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,28,28,No phone service,No,Yes,No,No,Mailed check,No,0,No,No,No,10,301,1,0,0.00%,29.75,29.75,301.9,30.19
Yes,Month-to-month,7892-POOKP,No,Yes,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,104,103.6,Yes,No,No,Yes,Yes,Electronic check,Yes,0,Yes,Yes,Yes,28,3046,1,1,100.00%,104.8,104.8,3046.05,108.7875
No,One year,6388-TABGU,Yes,No,DSL,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,56,56,No,Yes,Yes,No,No,Bank transfer (automatic),Yes,0,No,No,No,62,3487,1,0,0.00%,56.15,56.15,3487.95,56.25725807
